id_code,gender,gc_score,syn_graph_col,syn_seq_space,scsq_imagery,scsq_techspace,scsq_language,scsq_organise,scsq_global,scsq_system
89,0,NA,No,No,3.47,2.59,3,2.17,3,2.83
90,0,NA,No,No,2.53,3.29,3.67,2,2.5,4
91,0,NA,No,No,4.06,2.41,3.67,3.5,2.63,2.33
92,0,NA,No,No,3.53,2.59,3.83,3.83,2.5,2.67
93,0,NA,No,No,3.59,3.06,3.33,1.83,2.88,3
94,0,NA,No,No,3.41,3.18,3,3.33,1.88,2.33
95,0,NA,No,No,4.65,4.35,4.33,4.33,2.75,3.33
96,0,NA,No,No,4.24,3.24,3,3.67,3,3.33
97,0,NA,No,No,3.65,3.65,5,3.67,2.63,3.33
98,0,NA,No,No,2.94,3.18,3.5,3.5,2.75,3.67
99,0,NA,No,No,2.59,2,3.83,2.5,4,2.33
100,0,NA,No,No,3.41,2.71,3.17,3,3.5,2.83
101,0,NA,No,No,3.65,3.71,3.83,2.5,3,3
102,0,NA,No,No,3.35,1.94,2.83,2.67,3.5,2
103,0,NA,No,No,3.76,3.88,2.67,4.67,3.38,2.67
104,0,NA,No,No,3.06,2.71,3.83,2.17,2.38,2
105,0,NA,No,No,3.76,2.88,3.33,2,2.75,1.83
106,0,NA,No,No,4.41,1.76,5,3.17,1.13,2.67
107,0,NA,No,No,3.24,2.59,3.83,2.83,2.63,2.83
108,0,NA,No,No,3.65,2.41,3.17,2.5,3.25,2.17
109,0,NA,No,No,3.71,2.88,4.17,3.67,2.75,3
110,0,NA,No,No,2.94,2.35,4.17,2.17,2,2.33
111,0,NA,No,No,4.35,2.71,4.33,3.5,2.63,2.83
112,0,NA,No,No,4.18,3.47,4.17,3,2.5,3.17
113,0,NA,No,No,4.24,3.41,4.83,2.83,1.75,3.67
114,0,NA,No,No,4.71,3.18,4.67,2.5,2.75,3.5
115,0,NA,No,No,3.88,3.18,3,3.5,2.88,2.33
116,0,NA,No,No,2.76,1.41,2.5,2.67,4,2.67
117,0,NA,No,No,4,2.82,3.33,3,2.13,3.17
118,0,NA,No,No,3.71,2.35,2.67,4.17,3.75,3.17
119,0,NA,No,No,4.65,3.12,4.17,2.5,2.88,2.83
120,0,NA,No,No,3.88,2.76,3.83,2,3,3.5
121,0,NA,No,No,3.76,3.59,3.67,2.83,2.75,2.33
122,0,NA,No,No,3.53,3.06,3,2.67,3.88,1.67
123,0,NA,No,No,2.24,2.59,4.5,3.5,3.5,1.83
124,0,NA,No,No,3.82,2.94,3.17,3.17,3.5,2.67
125,0,NA,No,No,3.82,3.06,4,4,2.25,2.5
126,0,NA,No,No,3.65,2.53,2.33,2.5,2.25,3
127,0,NA,No,No,3.47,2.94,3,3.5,3.5,2
128,0,NA,No,No,4.41,3,3,1.5,3.13,2.5
129,0,NA,No,No,4.12,3.53,4.17,4.17,2.88,3.17
130,0,NA,No,No,4,2.35,3.33,3.67,2.5,3.33
131,0,NA,No,No,4.71,2.94,3.83,3.67,2.63,2.33
132,0,NA,No,No,3.76,3,3.83,2.5,2.75,2.33
133,0,NA,No,No,3.71,2.71,4.17,3,3.38,2.17
134,0,NA,No,No,3.29,2.82,2.83,3,3.13,2
135,0,NA,No,No,3.53,2.94,3.5,3.83,2.88,2.5
136,0,NA,No,No,3.29,2.35,2.5,2.67,2.88,2.5
137,0,NA,No,No,3.29,2.71,2.83,3.67,3.38,1.83
138,0,NA,No,No,2.71,3.18,2.33,2.5,3.5,1.67
139,0,NA,No,No,3.41,3.24,2.83,3,3.13,3.83
140,0,NA,No,No,3.12,1.76,4.33,3.17,3.38,2.67
141,0,NA,No,No,3.82,1.82,3.17,3.5,3.63,2.33
142,0,NA,No,No,3.59,2.71,2.33,3.5,4,2.33
143,0,NA,No,No,3.88,2.35,3.17,1.5,2.75,1.83
144,0,NA,No,No,4.24,3.18,3.83,4.17,3,1.33
145,0,NA,No,No,4.29,1.41,4.67,3.33,1.88,3.17
146,0,NA,No,No,4.12,3.06,3.17,3.17,2.38,3
147,0,NA,No,No,3.65,2.29,4.33,3.5,3.75,2.83
148,0,NA,No,No,3.88,2.41,2.5,2.17,2.75,3
149,0,NA,No,No,3.82,2.82,3,2.5,1.75,1.83
150,0,NA,No,No,3.82,3.71,5,3.33,1.25,4.17
151,0,NA,No,No,4.71,3.76,4.5,4,2,4.67
152,0,NA,No,No,4.12,2.12,3.67,4,2.88,2
153,0,NA,No,No,3.59,3.71,2.83,3.5,3.13,3.83
154,0,NA,No,No,3.88,4,3.33,4.17,3.25,3.17
155,0,NA,No,No,3.18,2.76,4.33,2,3.38,3.33
156,0,NA,No,No,4.59,2.71,2.17,2.83,2.38,3
157,0,NA,No,No,3.06,1.76,3.17,1.83,3.63,4.17
158,0,NA,No,No,4.59,4,1,3.67,2,4.17
159,0,NA,No,No,3.29,2.88,3.33,3,3.88,1.67
160,0,NA,No,No,3.65,2.24,2.83,4,2.75,1.83
161,0,NA,No,No,3.53,2.47,3.67,3,3,2.83
162,0,NA,No,No,3.24,3.29,3,3.17,2.38,3.17
163,0,NA,No,No,3.41,2.24,3.67,4,2.5,2.5
164,0,NA,No,No,2.94,2.47,3.5,2.33,4,2
165,0,NA,No,No,3.82,2.76,3.83,2,2.75,2.17
166,0,NA,No,No,3.82,3.71,4,4.33,2.5,3.17
167,0,NA,No,No,3.82,2.41,3.83,3.83,3.88,1.5
168,0,NA,No,No,3.82,3.59,3.83,3.67,2.88,1.67
169,0,NA,No,No,3.82,2.71,2.83,3.17,2.75,2.83
170,0,NA,No,No,3.53,3.12,4.17,3.5,2.5,3.5
171,0,NA,No,No,4.06,2.06,3.83,4,2.25,2.83
172,0,NA,No,No,4,2.12,4.33,1.67,2.88,2
173,0,NA,No,No,3.82,2.82,4.67,3.67,2.5,3.33
174,0,NA,No,No,3.88,3.29,3.17,1.67,3.13,2.83
175,0,NA,No,No,4,3.41,4,3.5,2.5,3.33
176,0,NA,No,No,3.35,2.29,2.33,2.83,3.38,2.83
177,0,NA,No,No,4.06,2.65,4.5,3,2.63,2.83
178,0,NA,No,No,4,2.71,2.67,3.67,2.38,3.67
179,0,NA,No,No,3.76,2.71,4.83,3.33,2.75,2
180,0,NA,No,No,3.06,3.47,2.83,3.5,3.38,3
181,0,NA,No,No,3.06,1.59,4.33,1.5,2.75,2.17
182,0,NA,No,No,4.12,2.82,4.5,4.67,2,3.67
183,0,NA,No,No,4,2.47,3.5,2.33,2.13,2.5
184,0,NA,No,No,3.29,1.88,3.83,2.67,3.63,2
185,0,NA,No,No,3.88,2.24,2.67,3.83,2.63,2.33
186,0,NA,No,No,4.24,2.71,3.67,3,2.88,2.33
187,0,NA,No,No,3.94,3.06,3.17,3.5,3.75,2.5
188,0,NA,No,No,3.94,2.76,4,3.17,3.75,3.5
189,0,NA,No,No,3,2.41,2.83,2.67,3.38,2.17
190,0,NA,No,No,2.94,2.88,5,3.5,3.25,3.17
191,0,NA,No,No,3.29,2.24,4.33,4.17,3.88,1.33
192,0,NA,No,No,3.76,2.94,3,3,3.25,3.5
193,0,NA,No,No,3.88,2.24,4.33,1.67,2.75,2.83
194,0,NA,No,No,3.76,2.18,3.33,3.83,2.88,2.5
195,0,NA,No,No,3.94,1.88,4.33,2.5,3.63,1.83
196,0,NA,No,No,2.82,1.29,2.67,1.83,2.63,1.67
197,0,NA,No,No,2.82,2,2.67,3.33,3.5,1.83
198,0,NA,No,No,3.29,2.29,3.67,2.5,2.5,2.33
199,0,NA,No,No,3.12,2.35,2.5,3.17,3.5,2.33
200,0,NA,No,No,3.35,2.82,2.67,2.67,3.25,2.33
201,0,NA,No,No,3.59,2.06,2.5,3.17,2.88,1.33
202,0,NA,No,No,4,3.59,3,3.83,2.75,1.83
203,0,NA,No,No,3.06,2,4.17,3,2.75,4
204,0,NA,No,No,3.59,2.88,4.17,4,2.25,2.83
205,0,NA,No,No,3.35,2.47,2.67,2.83,4,2.5
206,0,NA,No,No,4.29,2.59,3,2.83,2.75,3
207,0,NA,No,No,3.82,2.94,2.5,2.67,3.38,1.33
208,0,NA,No,No,3.53,2.82,5,2.33,4.88,4.17
209,0,NA,No,No,3.82,3.24,4.67,3.33,2.75,2.33
210,0,NA,No,No,4.82,2.35,3.67,3.83,2.38,2
211,0,NA,No,No,3.71,1.47,3.83,2.17,2,2.83
212,0,NA,No,No,3.35,3.29,2.67,3.83,2.38,1.83
213,0,NA,No,No,3.47,3.29,3.83,2.67,3.25,1.67
214,0,NA,No,No,3.82,2.47,4.83,3.67,2.5,2.83
215,0,NA,No,No,3.41,2.47,3.5,3,3.25,2.33
216,0,NA,No,No,3.12,2.94,4,3.5,2.13,2.67
217,0,NA,No,No,3.29,3.24,4.83,3.67,3.75,3
218,0,NA,No,No,4.18,3.41,3.83,3.33,2.63,2
219,0,NA,No,No,3.29,2.59,4.33,3.5,4,2.33
220,0,NA,No,No,4.24,3.76,4.83,1.83,2.38,4
221,0,NA,No,No,3.94,2.71,3.83,4.17,2.75,3.5
222,0,NA,No,No,3.47,3.06,3.83,4.5,1.88,3.67
223,0,NA,No,No,4.12,2.24,3.17,3.33,2.13,1.67
224,0,NA,No,No,3.94,3.41,4.17,3.83,1.88,4
225,0,NA,No,No,3,2.29,2.5,3.83,3.38,1.67
226,0,NA,No,No,3.12,2.94,2.83,2.17,3.5,2.83
227,0,NA,No,No,3.24,2.24,3.67,3.5,3.88,2.83
228,0,NA,No,No,3.41,2.82,3.5,3,3.5,2.83
229,0,NA,No,No,4.71,3.06,3.83,3,2.38,2.17
230,0,NA,No,No,3.82,2.65,3.83,3.83,2.75,3.17
231,0,NA,No,No,4.53,2.82,3.67,2.17,2.25,2.67
232,0,NA,No,No,4,2.59,2.5,2,3.25,2.17
233,0,NA,No,No,2.76,3.06,3.17,2.5,2.38,3.33
234,0,NA,No,No,4.65,2.65,4.67,3,2.75,2.33
235,0,NA,No,No,3.41,2.65,3.83,3.83,3.5,2.67
236,0,NA,No,No,3.59,2.76,3.67,3.67,3.25,3
237,0,NA,No,No,1.76,1.71,2,3.33,3.63,1.83
238,0,NA,No,No,4.76,2.41,2.17,3.67,2.13,1
239,0,NA,No,No,3.59,2.24,2.83,2.67,3,1.67
240,0,NA,No,No,4.18,3.24,4.33,5,1.63,3.33
241,0,NA,No,No,4.06,2.41,3.33,2.83,2.63,2
242,0,NA,No,No,3.41,2.65,2.83,2,3.38,2
243,0,NA,No,No,3.76,2.82,4.33,3.17,1.63,3.83
244,0,NA,No,No,2.94,2.94,4.5,3.67,3.5,3
245,0,NA,No,No,3.71,2.35,3.33,3,4.25,1.67
246,0,NA,No,No,3.24,2.82,4,2.83,3.63,2.17
247,0,NA,No,No,4,2.12,3.67,1.67,2.25,2.33
248,0,NA,No,No,3.12,3.29,2.83,3.5,3.38,2.67
249,0,NA,No,No,4.18,3.41,3.33,3.17,2.88,2.83
250,0,NA,No,No,3.24,2.53,3.83,3.33,2.5,2.67
251,0,NA,No,No,3.41,2.24,4.5,3.5,2.5,2.33
252,0,NA,No,No,4.47,4,4.33,3.67,1.63,1.83
253,0,NA,No,No,3.88,2.82,3,2,3.25,2.5
254,0,NA,No,No,3.53,2.71,4.33,2.67,3.38,2.5
255,0,NA,No,No,3.47,2.47,3.67,3,2.88,2.83
256,0,NA,No,No,4.18,2.76,4.67,3.83,2,3.5
257,0,NA,No,No,3.82,4.06,2.5,4.17,2.88,3
258,0,NA,No,No,3.71,3.12,4.17,2,2.5,3.67
259,0,NA,No,No,3.59,2.35,3.5,3.83,2.63,3
260,0,NA,No,No,3.71,2.53,3.67,3,2.88,2.83
261,0,NA,No,No,3.71,3,4.83,2.83,2.63,3.83
262,0,NA,No,No,3.35,2.94,3.83,3.67,3.5,3.67
263,0,NA,No,No,3.94,2.82,4,2.33,3,2
264,0,NA,No,No,2.94,2.94,2.67,2.67,2.5,3
265,0,NA,No,No,3.94,2.35,3,2.83,2.88,2.67
266,0,NA,No,No,3.59,2.18,4.67,3.33,1.88,2.33
