recordeddate,id,gender,age,height,weight,instagram,condition,choice_perc,panas1,panas2,panas3,panas4,panas5,panas6,panas7,panas8,panas9,panas10,panas11,panas12,panas13,panas14,panas15,panas16,panas17,panas18,panas19,panas20,bss1,bss2,bss3,bss4,bss5,bss6,bss7,bss8,bss9,bss10,bss11,bss12,bss13,bss14,bss15,bss16,bss17,bas1,bas2,bas3,bas4,bas5,bas6,bas7,bas8,bas9,bas10,sac1,sac2,sac3,sac4,pacsr1,pacsr2,pacsr3,pacsr4
2017-12-09T07:45:51Z,BRT4124,Female,18-29,1.61,60,Yes,BPaverage,33.3333333,2,1,3,1,3,1,1,1,2,4,1,2,1,3,1,1,2,1,1,1,5,5,4,6,6,6,7,7,7,6,7,5,5,5,7,6,7,4,4,4,5,3,4,4,3,4,4,4,5,4,4,10,10,10,10
2017-12-09T07:57:40Z,PHI8632,Female,18-29,1.52,50,Yes,Control,66.6666667,4,1,4,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,3,1,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,3,3,4,4,4,4,5,1,1,1,7,8,8,9
2017-12-09T08:23:27Z,WFO5415,Female,18-29,1.65,60,Yes,BPaverage,0,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,3,6,3,3,1,1,5,5,5,3,6,2,2,3,2,4,3,3,3,4,3,3,3,2,2,3,3,3,4,4,2,7,7,8,7
2017-12-09T08:30:05Z,JMC8734,Female,18-29,1.52,44.45,Yes,BPlarger,33.3333333,3,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,2,1,1,1,6,6,5,6,7,7,3,6,6,6,6,6,5,6,6,4,6,5,4,4,4,3,3,3,2,3,2,3,2,3,1,6,6,6,7
2017-12-09T08:30:42Z,YNO8399,Female,18-29,1.8,67,Yes,Control,25,3,1,3,2,3,3,1,1,4,1,1,2,1,3,1,1,2,1,1,1,6,5,6,6,4,4,4,5,6,5,6,6,6,5,6,6,6,4,4,4,4,3,3,4,4,4,4,1,1,1,1,8,8,8,8
2017-12-09T08:37:34Z,NLF1971,Female,NA,1.52,98,Yes,BPaverage,50,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,5,4,4,5,2,2,2,2,7,7,7,7
2017-12-09T08:58:14Z,JAF5640,Female,18-29,1.57,55,Yes,BPlarger,0,3,1,1,1,2,1,1,1,2,2,1,3,1,4,1,3,4,1,5,1,6,6,7,5,3,4,5,4,5,4,4,6,3,5,4,4,4,5,4,5,4,3,4,4,4,4,4,3,2,3,3,7,6,7,7
2017-12-09T08:59:03Z,KKH3788,Female,18-29,1.65,60,Yes,Control,25,3,1,2,1,1,1,1,1,3,1,1,1,1,4,1,2,1,1,3,1,3,3,2,5,3,5,4,5,6,4,5,3,2,5,4,2,5,3,3,4,3,4,3,2,2,2,3,3,NA,NA,NA,9,8,9,9
2017-12-09T09:42:49Z,RHD3245,Female,18-29,1.65,70,No,BPlarger,25,3,2,1,3,3,2,1,1,1,2,1,3,2,1,1,3,3,2,3,2,3,6,6,5,7,5,7,3,6,3,3,2,3,5,6,6,7,4,5,4,4,4,3,3,2,3,5,4,3,4,3,9,8,7,7
2017-12-09T10:02:30Z,GMH0985,Female,18-29,1.67,57.1,Yes,BPaverage,33.3333333,3,1,3,1,3,3,1,2,1,2,1,1,3,3,2,2,1,1,1,1,3,7,6,3,6,6,6,6,6,6,6,5,2,2,5,3,6,3,3,3,2,4,2,2,3,3,4,3,1,1,1,7,7,9,7
